Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","MUS","4754","Adv Ind App Recording","Dunston","3.62","20","60","0","20","0","0","0","0","0","0","0","0","0","5","88319","  1"
"2024-25","Fall","ECE","4664","Analog/Dig Comm Lab","Lu","3.54","20","40","20","20","0","0","0","0","0","0","0","0","1","5","83770","  1"
"2024-25","Fall","ECE","4664","Analog/Dig Comm Lab","Buehrer","3.54","20","40","20","20","0","0","0","0","0","0","0","0","1","5","83770","  1"
"2023-24","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.86","80","0","20","0","0","0","0","0","0","0","0","0","0","5","88101","  1"
"2023-24","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","3.12","0","0","60","20","20","0","0","0","0","0","0","0","0","5","80465","  1"
"2023-24","Fall","MGT","6944","Grad Sem Mgt Research","Schnatterly","3.48","40","20","0","20","20","0","0","0","0","0","0","0","0","5","87902","  1"
"2023-24","Fall","ENT","5004","Graduate Seminar","Couvillon","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85230","  1"
"2024-25","Fall","MUS","2334","High Brass Techniques","Bean","3.42","20","60","0","0","0","0","20","0","0","0","0","0","0","5","88232","  1"
"2024-25","Fall","NEUR","2974","Independent Study","Unroe","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88392","  1"
"2023-24","Fall","MUS","2574","Individual Applied Flute","Lantz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88222","  1"
"2023-24","Fall","MUS","2754","Individual Applied Recording","Dunston","3.06","0","20","40","20","0","0","20","0","0","0","0","0","0","5","88235","  1"
"2024-25","Fall","MUS","2514","Individual Applied Voice","Cowan","3.94","80","20","0","0","0","0","0","0","0","0","0","0","0","5","88236","  1"
"2024-25","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","82938","  1"
"2023-24","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88255","  1"
"2023-24","Fall","MUS","3314","Instrumental Ensemble Music","Masters","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88257","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Weinstein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88276","  1"
